user_A,user_B,taste_similarity,label
1919,1991,0.0,0
1490,66,0.0,0
1675,457,0.0,0
968,437,0.0,0
414,1481,0.0,0
227,481,0.25905951857566833,1
240,472,0.36961185932159424,1
1948,1164,0.0,0
1184,1186,0.35404884815216064,1
240,703,0.43811970949172974,1
150,236,0.3285992741584778,1
2099,399,0.0,0
1075,1759,0.0,0
1339,1568,0.14239178597927094,1
1710,1445,0.0,0
175,579,0.0,0
339,1057,0.4056384861469269,1
147,1137,0.34781429171562195,1
179,1483,0.3202873766422272,1
46,396,0.0,0
1017,1688,0.0,0
1144,1917,0.0,0
1646,1811,0.177903950214386,1
1139,1223,0.0,0
340,836,0.27713853120803833,1
1356,36,0.015557549893856049,0
130,1895,0.34690093994140625,1
852,1002,0.2822282314300537,1
723,1568,0.32805541157722473,1
807,1617,0.0,0
2006,672,0.0,0
383,1832,0.1899971067905426,1
152,1539,0.22231172025203705,1
1119,1741,0.0,0
179,1356,0.30361098051071167,1
760,2070,0.23932944238185883,1
572,1533,0.30534234642982483,1
1017,1332,0.4183432161808014,1
390,612,0.2522852420806885,1
858,1133,0.10977280139923096,1
2085,1968,0.0,0
1106,1179,0.32758164405822754,1
1919,2100,0.0,0
703,1453,0.488269180059433,1
966,1959,0.3613864779472351,1
110,713,0.2506471872329712,1
130,385,0.21029885113239288,1
1575,845,0.0,0
555,274,0.0,0
1189,1742,0.34989893436431885,1
83,286,0.0,0
609,1023,0.33208218216896057,1
1842,809,0.012073631398379803,0
1102,2021,0.17774541676044464,1
335,1560,0.24898691475391388,1
548,115,0.0,0
1179,1663,0.2467997819185257,1
39,43,0.01710514910519123,0
1029,1595,0.21048535406589508,1
277,1118,0.3095279335975647,1
48,413,0.20091433823108673,1
1189,1869,0.19796951115131378,1
271,1445,0.3076402246952057,1
990,1929,0.018474550917744637,0
2099,1736,0.0,0
536,911,0.32032281160354614,1
514,1300,0.3230224549770355,1
957,969,0.0,0
179,417,0.258510947227478,1
1488,673,0.0,0
852,2061,0.31559187173843384,1
1036,717,0.0,0
374,619,0.0,0
340,1780,0.36272916197776794,1
1308,1838,0.24672898650169373,1
1621,921,0.0,0
75,1664,0.1532743275165558,1
489,1554,0.34203237295150757,1
233,1659,0.26708143949508667,1
1581,352,0.0,0
420,935,0.0,0
1711,1364,0.0,0
424,1281,0.10501696914434433,1
784,1794,0.0,0
58,1385,0.3388935923576355,1
1656,1690,0.2476043701171875,1
500,121,0.0,0
53,281,0.0,0
815,1453,0.4633828103542328,1
236,1319,0.1629885733127594,1
308,870,0.1955307573080063,1
1094,1893,0.0,0
